tot,sys,usr
9362737,9362737,0
89405876,19405876,70000000
160655295,40655295,120000000
209528329,59528329,150000000
268904070,68904070,200000000
318571953,88571953,230000000
377027153,107027153,270000000
437797621,127797621,310000000
492588719,152588719,340000000
555477466,165477466,390000000
597306436,187306436,410000000
645894905,195894905,450000000
684335351,214335351,470000000
735173444,225173444,510000000
789968400,249968400,540000000
833789572,263789572,570000000
889188810,279188810,610000000
941889475,301889475,640000000
998147192,318147192,680000000
1067101471,347101471,720000000
1115523363,365523363,750000000
1140093488,370093488,770000000
1177003341,387003341,790000000
1226102785,396102785,830000000
1278384286,418384286,860000000
1329975101,439975101,890000000
1379737150,459737150,920000000
1413669132,473669132,940000000
1447172270,477172270,970000000
1499240088,499240088,1000000000
