tot,sys,usr
12037881,2037881,10000000
89745678,19745678,70000000
151526081,41526081,110000000
190646839,50646839,140000000
245018137,75018137,170000000
288427445,88427445,200000000
329578268,109578268,220000000
376363716,116363716,260000000
432389811,142389811,290000000
475528437,155528437,320000000
520943080,170943080,350000000
565534301,195534301,370000000
600625045,210625045,390000000
642091773,222091773,420000000
688480342,238480342,450000000
743963734,263963734,480000000
794302883,284302883,510000000
832322152,292322152,540000000
876135076,316135076,560000000
909704567,329704567,580000000
934338113,334338113,600000000
975374533,355374533,620000000
1024883815,374883815,650000000
1070024721,390024721,680000000
1111729515,411729515,700000000
1159701414,429701414,730000000
1194602137,444602137,750000000
1233751221,453751221,780000000
1287562069,477562069,810000000
1342761768,492761768,850000000
1397332735,517332735,880000000
1429385741,529385741,900000000
1481996971,541996971,940000000
1547376354,567376354,980000000
1612983253,592983253,1020000000
1661287335,611287335,1050000000
1703960517,623960517,1080000000
1734492737,634492737,1100000000
1782543354,652543354,1130000000
1841152044,671152044,1170000000
1900487800,700487800,1200000000
1954234197,724234197,1230000000
1994367453,734367453,1260000000
2051449639,751449639,1300000000
2110876446,780876446,1330000000
2171904536,801904536,1370000000
2226422038,826422038,1400000000
2271337923,841337923,1430000000
2317157502,857157502,1460000000
2371601340,881601340,1490000000
2422250080,902250080,1520000000
2468258572,918258572,1550000000
2511658041,931658041,1580000000
2564562990,954562990,1610000000
2622105315,972105315,1650000000
2678262856,998262856,1680000000
2746171590,1016171590,1730000000
2810443450,1040443450,1770000000
2849510035,1059510035,1790000000
2914450253,1084450253,1830000000
2956356487,1096356487,1860000000
2993617148,1113617148,1880000000
3041732697,1131732697,1910000000
3081373038,1141373038,1940000000
3142333178,1162333178,1980000000
3196108205,1186108205,2010000000
3246143707,1206143707,2040000000
3295451596,1225451596,2070000000
3350832428,1240832428,2110000000
3417098880,1267098880,2150000000
3465798116,1285798116,2180000000
3520746304,1310746304,2210000000
3586704949,1336704949,2250000000
3640966066,1360966066,2280000000
3681794509,1371794509,2310000000
