tot,sys,usr
19349965,9349965,10000000
4009641112,19641112,3990000000
7986720446,16720446,7970000000
11978324794,28324794,11950000000
15997053808,27053808,15970000000
19994711127,44711127,19950000000
23980738171,40738171,23940000000
27994399293,44399293,27950000000
31981366639,51366639,31930000000
36017223094,67223094,35950000000
40058799606,68799606,39990000000
44076362526,76362526,44000000000
48068492956,78492956,47990000000
52046808097,86808097,51960000000
56048009067,88009067,55960000000
60027568456,97568456,59930000000
64050635670,100635670,63950000000
68092787077,102787077,67990000000
72056086724,116086724,71940000000
76012464069,122464069,75890000000
79967370131,117370131,79850000000
83908019530,128019530,83780000000
87850988044,130988044,87720000000
91791826227,131826227,91660000000
95740170863,140170863,95600000000
99658456977,148456977,99510000000
103616942249,146942249,103470000000
107547328970,147328970,107400000000
111500519504,150519504,111350000000
115482596401,162596401,115320000000
119484337680,164337680,119320000000
123512110487,172110487,123340000000
127486965278,176965278,127310000000
131424662739,174662739,131250000000
135388872769,178872769,135210000000
139299014251,189014251,139110000000
143261044334,191044334,143070000000
147271631341,191631341,147080000000
151230995289,200995289,151030000000
155247375056,207375056,155040000000
159275592487,205592487,159070000000
163194063212,214063212,162980000000
167173652023,213652023,166960000000
171130475233,220475233,170910000000
175041353403,221353403,174820000000
179010500738,230500738,178780000000
183014053567,234053567,182780000000
187077984399,237984399,186840000000
191097748479,247748479,190850000000
195104059702,244059702,194860000000
199152183292,252183292,198900000000
203145556894,255556894,202890000000
207166593556,256593556,206910000000
211193209304,263209304,210930000000
215203471870,273471870,214930000000
219192596789,272596789,218920000000
223217705377,277705377,222940000000
227060424571,280424571,226780000000
230985017242,285017242,230700000000
234994371878,294371878,234700000000
238977612756,297612756,238680000000
242877322381,297322381,242580000000
246893694513,303694513,246590000000
250933770744,303770744,250630000000
254952456592,312456592,254640000000
258978787919,318787919,258660000000
263022119496,322119496,262700000000
267060763770,330763770,266730000000
271068269732,328269732,270740000000
274999394210,339394210,274660000000
278937831590,337831590,278600000000
282869676520,339676520,282530000000
286916916277,346916277,286570000000
290965255149,345255149,290620000000
294966782946,356782946,294610000000
298973523335,363523335,298610000000
