tot,sys,usr
8625313,8625313,0
85003247,25003247,60000000
134211812,34211812,100000000
188199925,48199925,140000000
247587003,67587003,180000000
301435191,81435191,220000000
351924169,101924169,250000000
384315207,104315207,280000000
421844956,121844956,300000000
455305023,125305023,330000000
487312251,147312251,340000000
523932148,153932148,370000000
591002546,181002546,410000000
650513260,200513260,450000000
695314507,215314507,480000000
746792718,236792718,510000000
803226482,253226482,550000000
837681638,267681638,570000000
893636481,283636481,610000000
964863926,314863926,650000000
1036245427,336245427,700000000
1108046047,368046047,740000000
1175964159,385964159,790000000
1246999014,416999014,830000000
1317373832,437373832,880000000
1370612908,460612908,910000000
1425078687,485078687,940000000
1472501742,502501742,970000000
1540191773,530191773,1010000000
1611214257,551214257,1060000000
1671979462,571979462,1100000000
1716737442,596737442,1120000000
1763591293,613591293,1150000000
1808636297,628636297,1180000000
1850185398,650185398,1200000000
1892384209,662384209,1230000000
1947843920,687843920,1260000000
2015683795,715683795,1300000000
2084169321,734169321,1350000000
2156975495,766975495,1390000000
2223750325,793750325,1430000000
2285733859,815733859,1470000000
2346479535,826479535,1520000000
2405488000,845488000,1560000000
2464151728,864151728,1600000000
2516020928,886020928,1630000000
2554618416,894618416,1660000000
2587332355,917332355,1670000000
2622348540,932348540,1690000000
2662205253,942205253,1720000000
2691344794,961344794,1730000000
2731922439,971922439,1760000000
2783853762,993853762,1790000000
2822795098,1002795098,1820000000
2875250164,1015250164,1860000000
2933427379,1043427379,1890000000
2983993834,1063993834,1920000000
3017552189,1077552189,1940000000
3058568827,1088568827,1970000000
3112544021,1112544021,2000000000
3167485777,1127485777,2040000000
3233233343,1153233343,2080000000
3274449360,1174449360,2100000000
3312840969,1182840969,2130000000
3361718981,1201718981,2160000000
3409215643,1219215643,2190000000
3463326178,1243326178,2220000000
3510398414,1260398414,2250000000
3551240883,1271240883,2280000000
3611669287,1291669287,2320000000
3676547571,1316547571,2360000000
3718502793,1318502793,2400000000
3769239043,1339239043,2430000000
3822036915,1362036915,2460000000
3874992684,1384992684,2490000000
3921514007,1401514007,2520000000
3973650754,1423650754,2550000000
4021438096,1441438096,2580000000
4070026812,1460026812,2610000000
4120529480,1480529480,2640000000
4152485259,1482485259,2670000000
4186120967,1496120967,2690000000
4247419449,1517419449,2730000000
4317025191,1547025191,2770000000
4363205404,1563205404,2800000000
4398849602,1568849602,2830000000
4447601417,1587601417,2860000000
4502847520,1612847520,2890000000
4550819454,1630819454,2920000000
4584778156,1644778156,2940000000
4610935127,1650935127,2960000000
4648850218,1668850218,2980000000
4700145000,1690145000,3010000000
4743311817,1703311817,3040000000
4790062395,1720062395,3070000000
4848611053,1738611053,3110000000
4897554769,1757554769,3140000000
4946879769,1776879769,3170000000
4994788926,1794788926,3200000000
5035211388,1805211388,3230000000
5079209619,1819209619,3260000000
5127731027,1837731027,3290000000
5180194433,1860194433,3320000000
5236893317,1876893317,3360000000
5289702420,1899702420,3390000000
5333815114,1913815114,3420000000
